00083;Surya Tama Medika, PT.;Jl. Mayor Hasibuan, Ruko Suncity Square Blok E27, Bekasi;88863658;88863658
00084;Matrix Sistem Telekomunikasi, PT.;Jl. Chairil Anwar Blok A No. 23 Margahayu  - Bekasi Timur;8801232;081280262988
00085;Dafanti Multi Teknik, PT.;Perum. Pejuang Jaya G-413, Pejuang, Medan Satria Kota Bekasi 17131;88987492;0
00086;Panitia Renovasi Musholla Al Ikhlas;Jl. Manyor Blok C-666 Rt 003/09 Perumahan Duta Kranji, Bekasi Barat;081317957229;085813631781
00087;Thai Indonesia,  PT.;Jakarta;085102777283;26692165
00088;Abadinusa Usaha Semesta, PT.;Jl. Surabaya No. 54 P.O. Box 4583 Jakarta 10310;3101825;3191926
00089;Pengurus Pensiunan Gaul RSIJCP;Jl. Cempaka Putih Tengah I/1 Jakarta 10510;0;0
00090;IFARS PHARMACEUTICAL LABORATORIES, PT.;Jl. Raya Solo - Sragen KM 14,9 Karanganyar Solo 57762;0271 - 8200888;0271 - 656230
00091;Trans News Corpora / CNN Indonesia, PT.;Jl. Kapten Tendean Kav 12-14A Jakarta Selatan;79177000;7992600
00092;SMKN 31 Jakarta;Jl. Kramat Jaya Baru Blok D II Johar Baru Jakarta Pusat;4246015;4223568
00093;Panitia Pelaksana HUT SATPAM Ke 35 Tahun 2015;Jakarta;72792395;081908635427
00094;Bank Mandiri  PT. (Persero) Tbk. Cabang Jakarta Ahmad Yani;Jl. Jend. A. Yani No 2 By Pass Jakarta 10510;42877814;4249658
00095;Kopernik, PT. ;POBOX 1902 Ubud Bali 80571;081320235805;082140303034
00096;Perhimpunan Dokter Spesialis Anestesiologi Dan Terapi Intensif Indonesia;Jl. Matraman Raya No. 30 Jakarta Pusat;29614292;29614292
00097;Bank Pembangunan Daerah Kalimantan Barat, PT.;Jl. Arteri Mangga Dua, Wisma Eka Jiwa No. RM/18 Jakarta;6257649;6000279
00098;AJ CENTRAL ASIA RAYA, PT.;Jl.  Wisma Sejahtera Lt. 5 Jakarta Barat 11420 ;021-5324318;021-5324320
00099;Professional Learning Center;jl. Monumen lubang buaya Ruko Al-Maira no.C4 Jakarta Timur;021-22877058;0
0010;Lembaga Pengembangan Tilawatil Quran (LPTQ);Jl. KH. Mas Mansyur Gang Awaludin II Tanah abang;021- 3924516;021-3924516
00100;Zeus Vascular, PT.;Kawasan Andalucia Ruko Alicante Blok D No. 35 Gading Serpong Tangerang;081284728840;22223733
00101;FKG Univ. Prof. Dr. Moestopo (Beragama);Jakarta;0;0
00102;Nuansa Cerah Informasi, PT.;Jl. Pelajar Pejuang 45 No. 43 Bandung 40263;022 7317077;022 7300790
00103;KAGAMA Komisariat Kedokteran UGM;Jl. Farmako Sekip Utara Yogyakarta 55281;0274 - 631206;0274-560300
00104;Jaya Teknik Indonesia, PT.;Jl. Johar 10, Kebon Sirih, Menteng Jakarta Pusat 10340;23555999;0
00105;Dwi Cahaya Mulia, PT.;Ruko Vila Jatibening Tol Blok A No. 2, Jatibening Pondok Gede Bekasi Barat;85100718502;84991946
00106;Lembaga Administrasi Negara RI  Lembaga Administrasi Negara RI;Jl. Veteran No 10 Jakarta Pusat 10110;3868201;3524304
00107;Citra Media Karya Gemilang, PT.;Asam Raya No. 88 Duri Kepa-Kebon Jeruk-Jakarta Barat 11510;56958615;56958616
00108;Lingga Pratama Promosindo, PT.;Jl. Pramuka Jaya Sari No. 18 Jakarta Pusat;4212990;4212897
00109;Dirjen Pembinaan Pengawasan Ketenagakerjaan Dan Keselamatan Dan Kesehatan Kerja        ;jl. A. Yani 69-70 Jakarta Pusat ;4246335;4209114
00110;IMM Fak. Teknik UMJ;Jl. Cempaka Putih Tengah No. 27 Jakarta Pusat 10510;0;0
00111;DPP Badan Pendidikan dan Pelatihan Perawat Indoneisa - PPNI;Jl. Lenteng Agung Raya No. 64 RT 06/RW 04 Jakarta Selatan;085285110645;0
00112;Arotech International, PT.;Komplek Pergudangan Prima Bintang Kav 15/8 Jl. Raya Daan Mogot Km 12,8 Rawa Buaya Jakbar 11740;54376355;54380712
00113;Persatuan Ahli Teknologi Laboratorium Kesehatan Indonesia;Jl. Utan Kayu 22 Jakarta Timur;085780668569;0
00114;STIKES Guna Bangsa Yogyakarta;Jl. Ring road Utara, Condongcatur, Depok Sleman Yogyakarta;0274-4477701;0
00115;MDT. Muhammadiyah Ahmad Dahlan;Pulau Saibus Dusun Waru Desa Saur Saibus Kec. Sapeken;081231474132;0
00116;Clara S. Widodo;Jakarta;089656659560;081294501904
00117;Majalah Risalah NU;Gedung PBNU. Jl. Kramat Raya No 164 Jakarta Pusat 10430;3912263;0
00118;Pelaksanan Publikasi Semarak Peringatan HUT Ke-489 Kota Jakarta Dan Hut Ke 71 Proklamasi Kemerdekaan RI;Jl. Wisma Jaya No. 8 Jakarta 13220;29847017;29847017
00119;WAP Andalan Indonesia, PT.;Jl. Raya Kelapa Dua Blok N3. No. 9 Kelapa Dua, Tangerang Banten 15810;52650022;5463544
00120;STIKES Binawan;Jl. Kalibata Raya No. 25-30 Jakarta 13630;80880882;80880883
00121;MPKU PWM DKI Jakarta;Jl. Kramat Raya No. 49 Jakarta 10450;3912519;0
00122;Superhelindo Jaya. PT;JL. KH. Moh Mansyur No. 19B Jakarta 10140;6318444;6326288
00123;Majalah Profil Indonesia;Rukan Tanjung Mas Raya B1 No 8. Jl. Raya Lenteng Agung Jakarta Selatan;7823341;7823358
00124;Cnaindo Teknologi, PT.;Le-Green Office Lantai 2 Suite 3.8 Jl. Penjernihan II Bendungan Hilir Jakarta Pusat ;088213329904;57905280
00125;RSIA SamMarie Basra;Jl. Basuki Rachmat No. 31 Pondok Bambu, Duren Sawit Jakarta Timur;86613145;86613147
00126;PERSALUNY;Jakarta;081220809949;08128281576
00127;Principal Recipient TB-HIV "Aisyiyah Global Fund ATM;Jl. Dukuh Patra No. 25 Menteng Dalam, Tebet  Jakarta Selatan;8296478;0
00128;IDS Medical System Indonesia, PT.;Wisma 76, Lt. 17 & 22 Jl. Letjan S. Parman Kav. 76 Slipi JAkarta 11410;25678989;53661038
00129;Krama Yudha Tiga Berlian Motors. PT;Jl. Jend. A. Yani Proyek Pulo Mas, Jakarta 13210 PO.BOX 1482/JKT;4891608;4750765
00130;Djembatan Dua. PT (Inmark Pharmaceuticals);Titan Center , 7th Floor. Jl. Boulevard Bintaro Block B7/B1 No. 05 Binatro Jaya Sector 7, Tangerang;7454777;7453777
00131;Green Solutions Indonesia. PT;Menara Bidakara, lt 16 Jl. Gatot Subroto Kav. 71-73 Jakarta 12870;0;0
00132;Ahmad Zaini;Jl. Cempaka Putih Tengah 26 G Jakarta;4253002;081283350549
00133;Paguyuban Pengajian Pensiunan RSIJ (P3RSI);Jl. Cempaka Putih Tengah VI No. 12 Jakarta Pusat;42665546;0
00134;Universitas Trisakti;Jl. Kiyai Tapa No. 1 Jakarta 11440;5663232;5602575
00135;The International Olympiad Of Quran And Technology ;Uhamka Pasar Rebo Jakarta Jl. Tanah Merdeka Pasar Rebo Jakarta Timur;087730300127;081848427
00136;Caprifarmindo Laboratories. PT;Jl. Ir. H. Juanda III/10 Jakarta Pusat;3518836;3865561
00137;Universitas Pelita Harapan;UPH Tower, Lippo Karawaci, Tangerang 15811 PO BOX 453;5460901;5460910
00138;Ortho Timur. P.T;Kompleks Perkantoran Ambengan Plaza Blok B- 8 Jl. NGemplak 30 Surabaya 60272;081227136069;0
00139;RS Pusat Otak Nasional;Jl. M.T. Haryono Kav. 11 Cawang Jakarta Timur 13630;29373377;29373385
00140;Rumah Sakit Bakti Timah. PT;Jl. Jendral Sudirman 51B, Pangkal Pinang Prov. Kepulauan Bangka Belitung 33121;717 - 9100844;717 - 431777
00141;Berlian Jaya, CV / RJYB Indonesia, CV;Pondok Ungu Permai Sektor V Blok M5/15, Babelan, Bekasi;0;0
00142;Penderita Cacat Tubuh Akibat Luka Bakar;Jl. Batu Baru No. 73 RT 009 RW 02 Tanah Abang Jakarta Pusat;081319552155;0
00143;Nitra Biru Lestari. PT;Tower A, EightyEight@Kasabalnka Office Tower. Jl. Kasablankaraya Kav. 88 Jakarta 12870;29638000;29638088
00144;Masjid Al - Mujahidin Kukusan;Jl. KH. A. Dahlan No. 8 Kelurahan Kukusan Kec. Beji Kota Depok ;08568244662;0
00145;Mushola Al Barokah Kwitang;Jl. Kembang IX RT 002 / 03 Kel. Kwitang Jakarta Pusat;3914915;085779762771
00146;mClinica;mClinicaPte. Ltd. (Singapore);0;0
00147;Yayasan P.A. Al-Iqro;Jl. Raya Labuan Km. 09 PLTU2 Labuan ;08128440036;087711061972
00148;SMP Muhammadiyah 3 Depok ;Jl. Raya Cipayung No. 55 Kel. Cipayung Kec. Cipayung Kota Depok 16437;77884146;0
00149;Empatix. PT;lanita.wahyuni@empatix.com;3141241;089620615894
0015;Rumah SyariahQu;Jl. Merbabu - Lapangan Tembak, Cibubur Jakarta Timur 13720;087880990043;087880990043
00150;GEMSS Solution Indonesia. PT;Graha Mandiri Level 31st. Jalan Imam Bonjol No. 61 Jakarta 10310;39833768;081282644439
00151;Indonesia Initiative On MDR TB Care (IMTC);18 Office Park, Tower A 9th Floor, Jl. TB Simatupang No. 18 Jakarta 12520;22781616;22781616
00152;Sevana Distributor. PT;Infinia Park Blok A No. 52;83791155;83791166
00153;Clinton Health Access Initiative;Jl. Pekalongan No. 7 Menteng, Jakarta Pusat;31903374;31936690
00155;Lembaga Dakwah Khusus PP Muhammadiyah;Jl. Menteng Raya No. 62 Jakarta Pusat 10340;31934747;31934747
00156;Solusi Teknologi Informasi, PT;Jl. Kalibata Raya No. 11-12B Jakarta Selatan 12740;7949534;7947380
00157;Masjid Al-Amin ;Jl. Reformasi Blok B No. 25 Kelurahan Cilincing Kec. Cilincing Jakarta Utara;082213924508;0857711411787
00158;Perhimpunan Konselor VCT HIV Indonesia;Jakarta;0;0
00159;Bank Mega Syariah;Menara Mega Syariah. Jl. HR Rasuna Said Kav 19A Jakarta 12950;29852000;29852200
00160;RSIA UMMI;Jl. Empang II No. 2 Bogor 16132;0251-8341600;0251-8341606
00161;Bank Syariah Mandiri, PT  Bank Syariah Mandiri Region III - Jakarta, PT;Graha Mandiri Lt 22 Jl. Imam Bonjol No. 61 Jakarta;2301477;3142340
00166;Universitas Mpu Tantular;Jl. Cipinang Besar No. 2 Jakarta 13410;8197386;8562010
00167;Reuni Akbar Univ.Brawijaya;Gedung Pelita Air Service jl. Abdul Muis No.52-56 Jakarta Pusat;0816186520;000
00168;Kaligis & Associates;Jl. Majapahit No. 18 - 20 Kompleks Majapahit Permai Blok B101 Jakarta;3850155;0
00169;STIE Indonesia ;Jl. Kayu Jati Raya No. 11A Rawamangun Jakarta 13220;4758702;4722371
00170;Dirjen Kesehatan Masyarakat Kemenkes RI;Jl. HR Rasuna Said Blok X-5 Kavling 4-9 Jakarta 12950;5203871;5203117
00171;Hade Anugerah Abadi Sentosa. PT ;dedyanugerah75@gmail.com;0;0
00172;Dirjen Pajak Kanwil DJP Jakarta Pusat    ;Jakarta;0;0
00179;Kementrian Luar Negeri RI;Jl. Taman Pejambon No. 6 Jakarta Pusat 10110;0;0
00180;Pertamina Training and Consulting. PT;Jl. Abdul Muis No. 52 A Gedung B, Petojo Selatan Jakarta Pusat 10160;21202050;21202091
00181;Mitra Bisnis Abadi, PT;Graha Mitra. Jl. Raya Serab No. 51 Depok 16412;77832413;77832413
00182;RS. PELNI;Jl. AIPDA K.S Tubun No. 92-94 Jakarta Barat 11410;5484809;5483145
00183;Tamir Masjid Al-Fitroh;Desa Karangcegak. Kec. Kutasari. Kab. Purbalingga 53361;0;0
00184;Rahmat Sejahtera, PT;Jl. Industri Raya No. 9-11 Griya Kemayoran RK-II No. 9 Jakarta Pusat ;62308489;62308591
00185;DADAN HADIANTO;Jl. Cempaka Baru X No. 5 RT 5 RW 7 Jakarta;0;0
00186;Majlis Agama Islam Dan Adat Melayu Terengganu;Kompleks Seri Iman, Jl. Sultan Mohamad  20519 Kuala Terengganu;09-6303030 ;09-6248134
00187;DPW PPNI Propinsi DKI Jakarta;Gedung Dinas Kesehatan Propinsi DKI Jakarta Blok D lt II Jl. Kesehatan No. 10 Jakarta Pusat;0851-0009-0961;0
00188;HERMED;Jakarta;081389817559;0
00189;Afina Sinar Cemerlang;Jl. Tambak II No. 27 Jakarta Pusat;70731593;0
0019;Japan Medical Instruments Co.Ltd;Kobune -cho, Chuo-ku Tokyo;+81356437180;+81356497181
00190;Yayasan QQ Mitra Ananda DKI Jakarta;Komp. Cipinang Elok II Blok AA 14 Cipinang Muara Jatinegara Jakarta Timur;8579681;087886611785
00191;Dinas Kesehatan Pontianak;Jl. D. Abdul Hadi No. 7 Pontianak;0561 - 734706;0561 - 768803
00192;Excellence Indonesia;Jakarta;7457788;7454733
00193;Bank Mega;email : desak.made@bankmega.com;085715945307;081310399666
00194;Maybank;KCP Kelapa Gading Kirana  ;4513212;08111732829
00195;RSU Siaga Medika Banyumas;Jl. Pramuka 55 Banyumas 53192;0281-796100;0281-796647
00196;Gracia Visi Pratama, PT;Jl. Soekarno Hatta No. 8A Semarang;76729175;76729208
00197;TOSSCOMM Communication Training and Consulting;Jl. Lingkar Selatan Geblagan 1/01 No. 27D Tamantirto Kasihan Bantul Yogyakarta;0274-377485;0274-377485
00198;Pimpinan Ranting Muhammadiyah Kampung Bali IV;Jl. Jati Baru 1 / Tanah Rendah seberang I Tanah Abang Jakarta Pusat;087875411676;082111119595
00199;Tim Pelaksana Distribusi Buku/Alkes Profil Kemenkes RI;Jl. D.I. Panjaitan (By pass) PO BOX 1104 JKT 13011;8233838;8234617
00200;RSUD Tarakan ;Jl. Kyai Caringin No. 7 Jakarta Pusat 10510;3503003;3503412
00201;Pimpinan Daerah Muhammadiyah Kabupaten Paser;Jl. P. Mentri No. 96 Tanah Grogot Kab. Paser 76211;0;0
00202;Zee Komunikasi Indonesia, PT;Jl. Makmur Raya No. 1 Menteng Atas Setia Budi Jakarta Selatan;8352852;8352749
00203;Idea Besar Komunika, PT;Jakarta;0;0
00204;Sarana Insan Sejahtera. PT;Ruko Buaran Persadan No. 9 Jl. Jend. Pol Sukanto Duren Sawit, Jakarta Timur 13460;29622568;0
00205;KONI Prov. DKI Jakarta;Jl. Letjend. Suprapto Kav. 3. Cempaka Putih Jakarta 10520;4222029;4222147
00206;SMKN 44 Jakarta;Jl. Harapan Jaya 9/5A Cempaka Baru Jakarta Pusta;4240912;4267719
00207;AKPER Pemkab Purworejo;Jl. Raya Purworejo - Kutoarjo Km. 6.5 Grantung, Bayan, Purworejo;0275 - 7530232;0275 - 3140576
0021;PRASETYA DHARMA MEDICAL COLLEGE;RS ROYAL PROGRES;08221321114;08221321114
00210;Dedyk Eryanto Nugroho, S.H.,M.H.C.R.A;Graha Induk KUD (NKUD), Lt 6. Jl. Warung Buncit Raya No. 18-20 Pejaten Barat Jakarta ;0;0
00222;Himpunan Mahasiswa Kesehatan Masyarakat FIKES Uhamka;Jl. Limau II, Kebayoran Baru, Jakarta Selatan;083877369793;0
00263;Vemisha,  PT.;Grand Ancol Center, Blok B 33 Jl. RE Martadinata No. 1 Jakarta 14430;6916619;6910373
00264;RSI Ibnu Sina Bukittinggi YARSI Sumatera Barat;Jl. Batang Agam, Bukittinggi 26136;0752-21185;0752-34009
00266;Ramadhan;ramadhan12469@gmail.com;0;0
00267;ZAMILI engineering;Serut 33/06 Palbapang Bantul Yogyakarta;085102820760;081802619868
00268;SMK Ksatrya;Jl. Percetakan Negara No. D 232 Jakarta Pusat;4256689;42880600
00269;Humaedi, S.Ag;medikarim 152@gmail.com;087772616529;0
00270;Bank BJB Syariah;Jl. Braga No 135 Bandung 40111;022 - 4202599;4212550
00271;Kementrian Koordinator Bidang Pembangunan Manusia dan Kebudayaan RI;Jl. Medan Merdeka Barat No. 3 Jakarta Pusat 10110;3459444;345329
00272;PT. Inovasi Digital Medika ;Jl. Jend SudirmanKav. 52-53 Jakarta ;021-29398909;021-2927888
00298;Yosya Rina A.D;big umma<bigumma@gmail.com>;0;0
00299;Sagung Seto, CV.;Jl. Pramuka No. 27 Jakarta 13120;8577251;8583629
00300;Institut Kesehatan Indonesia;Jl. Boulevard Barat Raya, Kelapa Gading Permai, Jakarta Utara 14240;45858899;0
00301;HBL Law Firm;The Balezza Tower Lt 8-Off. 5, Arteri Sopeno 3A Permata Hijau Kebayoran Lama Jakarta Selatan 12210;30066827;3006829
00302;Aerocom Jenco Indonesia, PT.;Jl. Pangeran Tubagus Angke Komp. Duta Square Blok A No. 8 Jakarta Barat 11460;5645366;56940765
00303;RS Umum Siwa;Jl. Andi Jaja No 1 Siwa Kec. Pitumpanua Kode Pos 90992;0472-321003;0472-321003
00304;SMK Muhammadiyah 3 Metro Lampung;Jl. Soekarno Hatta Mulyojati 16B Kec. Metro Barat Kota Metro Lampung;0725 - 47733;0
00305;EM YE TIGA Bersaudara, PT;Jl. Pisangan Baru Timur VII No. 1 Kelurahan Pisangan Baru, Matraman, Jakarta Timur 13110;8507340;0
00306;Dirjen Administrasi Hukum Umum Kementrian Hukum Dan HAM RI;Jl. H.R. Rasuna Said Kav. 6-7 Jakarta Selatan;5202387 ;0
